question,source,retrieved_doc_ids
Who are Australia's leaders in the design and delivery of technology adoption and R&D commercialisation outcomes for SMEs within the ARM Hub team?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'ATTACHMENT 1 ARM Hub Flyer.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is the Chair of the ARM Hub Board and what role does he play in the development of the AIDCC program?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who are the contributors to the Centre for Robotics led by Distinguished Professor Peter Corke and Professor Michael Milford?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What are the key areas of investigation in AI research at the QUT Centre for Data Science?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
"What types of data does the Centre analyze, including emerging data forms and sizes of data sets?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'initial assessment_Leakster_sprints_v1_05.04.22.docx.pdf', 'LLMOPs in Australian SME Manufacturing.docx.pdf']"
What are the key domains of AI expertise mentioned in the paragraph?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'ARM Hubs Responsible AI Policy.docx.pdf', 'LLMOPs in Australian SME Manufacturing.docx.pdf', 'AIGP FSG.pdf']"
"Which organization includes world-renowned experts in strategy, technology, and innovation management to support SMEs and microenterprises in the areas of AI Governance, AI Business Models, and Applications of AI?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'LLMOPs in Australian SME Manufacturing.docx.pdf', 'LLMOPs in Australian SME Manufacturing.docx.pdf']"
What are the key research strengths of JCU in the Internet of Things (IoT) and how are they supported?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are the key manufacturing priority industries and fields of focus for the University of Queensland (UQ) in the context of AI and cyber security?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'ARM Hub Brief, UQ Partnerships and DVCR 20230724[66].docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Which university is collaborating with the AIDCC on developing personalised digital twins for humans and implanted and wearable devices in the grain industry?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
