question,answer,chunk,chunk_id,source
Who are Australia's leaders in the design and delivery of technology adoption and R&D commercialisation outcomes for SMEs within the ARM Hub team?,"The ARM Hub's 13 core staff, 47 experts (including leading university researchers), Board members, and Advisors are Australia's leaders in the design and delivery of technology adoption and R&D commercialisation outcomes for SMEs.","DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
Research Organisations and Digital Experts 
 
The AIDCC will leverage ARM Hub’s 13 core staff, 47 experts (including leading university 
researchers), Board members, and Advisors, are Australia’s leaders in the design and delivery of 
technology adoption and R&D commercialisation outcomes for SMEs. 
A full list of biographies of the ARM Hub team is listed below. Most recently ARM Hub CEO, 
Associate Professor Cori Stewart, was awarded the prestigious Women in AI Awards Australia and 
New Zealand for 2022 for AI in Manufacturing . 
The AIDCC’s executive team has decades of leadership experience in industry and innovation policy, 
university R&D commercialisation, and technical and management fields in AI, robotics, engineering, 
design, innovation, entrepreneurship, IP commercialisation, communications, project management, 
and high -calibre science and technology facility operations, necessary to successfully deliver and 
grow the AIDCC. 
It is precisely the above track record and capabilities that ensures the successful delivery of the 
AIDCC and its contribution to a sustainable long -term Australian infrastructure supporting SMEs to 
scale and create Australia’s sovereign industrial capability and access to high -value global markets. 
The ARM Hub team is supported by a strong Board, who along with the CEO, have bee n instrumental 
in establishing the policy arguments and evidence that has inspired the development of the",0,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
Who is the Chair of the ARM Hub Board and what role does he play in the development of the AIDCC program?,"The Chair of the ARM Hub Board is Emeritus Professor Roy Green, Innovation Advisor at the University of Technology Sydney. Professor Green holds prestigious national and international appointments and is a key figure in Australia's industrial digital transformation agenda and innovation ecosystem. He has been instrumental in establishing policy arguments and evidence that inspired the development of the AIDCC program.","markets. 
The ARM Hub team is supported by a strong Board, who along with the CEO, have bee n instrumental 
in establishing the policy arguments and evidence that has inspired the development of the AIDCC 
program itself. The Chair of the ARM Hub Board is Emeritus Professor Roy Green, Innovation 
Advisor, University of Technology Sydney. Professor G reen holds numerous prestigious national and 
international government, business and university appointments and is a figurehead for Australia’s 
industrial digital transformation agenda and the reinvigoration of the country’s innovation 
ecosystem. 
The AIDC C has six investing Queensland university partners, represented by 47 researchers who 
contribute to projects and industry engagement activities, including working as part of a National 
Network, as detailed in the Project Plan, and support from CSIRO’s Data 61. 
 
QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT) 
 
QUT is a major contributor to the AIDCC through the Centre for Robotics, Centre for Data Science, 
Centre for Future Enterprise, and Design School. 
 
QUT Centre for Robotics 
 
The Centre builds on a decade of investment in world -leading robotics research and translation, 
funded through programs including the Australian Resear ch Council’s Centre of Excellence in Robotic 
Vision, Cooperative Research Centres, industry and QUT initiatives. The Centre is led by 
Distinguished Professor Peter Corke and Professor Michael Milford who are both contributors to the 
AIDCC.",1,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
Who are the contributors to the Centre for Robotics led by Distinguished Professor Peter Corke and Professor Michael Milford?,"The contributors to the Centre for Robotics led by Distinguished Professor Peter Corke and Professor Michael Milford are experts in digital capability, focusing on AI-enabled robotics research and innovation. They work on areas such as computer vision, localisation and mapping, digital twins, machine learning, and planning. These experts play a crucial role in translating research into commercial and societal outcomes in various fields like mining, defence, precision agriculture, autonomous vehicles, manufacturing, and healthcare applications. Additionally, they lead education, training, talent development, and contribute to technological policy development and societal debates on topics like drone shared airspace, trusted systems, and explainable AI.","Vision, Cooperative Research Centres, industry and QUT initiatives. The Centre is led by 
Distinguished Professor Peter Corke and Professor Michael Milford who are both contributors to the 
AIDCC. 
 
 
 
DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
The Centre for Robotics is at the forefront of research and innovation in AI -enabled robotics, 
including computer vision, localisation and mapping, digital twins, machine learning and planning. 
 
The Centre translates research into commercial and societal outcomes, e.g., in mining, defence, 
precision agriculture, autonomous vehicles, manufacturing and healthcare applications; leads 
education, training and development of talent to meet growing deman ds; and provides leadership in 
technological policy development and societal debate, e.g., drone shared airspace, trusted systems 
and eXplainable AI. 
 
Key domains of AI expertise 
• Physical interaction – explores how the physical world can be translated to the digital. 
Beyond cyber -physical system interaction, researchers are embodying AI in robotic systems, 
sensing important real -world data, and advancing force -mediated control methods. 
• Perception and localisation – utilises advanced computational vision, feature selection and 
neuroscience -inspired AI, such as RatSLAM, to create maps, and calculates and tracks its 
location in the world. 
• Visual learning and understanding – investigates how AI perception can be made safe, 
trustworthy, and reliable, e.g. for",2,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
What are the key areas of investigation in AI research at the QUT Centre for Data Science?,"The key areas of investigation in AI research at the QUT Centre for Data Science include visual learning and understanding, decision and control, and human interaction. Visual learning focuses on AI perception for safe and reliable applications like people detection in hazardous workplaces. Decision and control involve autonomous decision-making for robots in uncertain environments using probabilistic reasoning. Human interaction explores how AI can effectively interact with humans, including trust and explainable AI techniques.","to create maps, and calculates and tracks its 
location in the world. 
• Visual learning and understanding – investigates how AI perception can be made safe, 
trustworthy, and reliable, e.g. for people detection in hazardous workplaces. Understanding 
is developed through object -based semantic maps, graphs, and symbolic rule mining. 
• Decision and control – investigates how AI can make autonomous decisions and control for 
robots in the presence of uncertainty, e.g., probabilistic (Bayesian) reasoning. Advanced data 
analysis detects anomalous conditions in weak measurement environments, such as invasive 
species detection in agriculture and on reefs. 
• Human interaction – how AI can effectively inter act with humans, including how humans 
interact, perceive and trust AI, especially concurrent symbolic and post -hoc deep -learning 
techniques in eXplainable AI. 
 
 QUT Centre for Data Science 
 
The Centre draws together capability in data science from acros s Australia and is a global leader of 
frontier methods for the use of data. Led by Distinguished Professor Kerrie Mengersen, the Centre’s 
work supports R esponsible AI, including ethical, governance, sovereign, also data management and 
data literacy. 
The Centre builds the tools to deliver Responsible AI, using analytical methods, visualisation and 
aggregating data sets using federated systems to maintain ownership/privacy. Through federated 
analysis on data, the Centre identifies how to do ‘transfer learni ng’",3,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
"What types of data does the Centre analyze, including emerging data forms and sizes of data sets?","The Centre analyzes different types of data, including emerging data forms such as video, natural language processing, virtual reality, satellite data, and social media. They work with both little data sets and large data sets, which is crucial for emerging areas like biosecurity.","methods, visualisation and 
aggregating data sets using federated systems to maintain ownership/privacy. Through federated 
analysis on data, the Centre identifies how to do ‘transfer learni ng’ from one system to another. 
The Centre uses different types of data, such as analysing emerging data forms such as video, natural 
language processing, virtual reality, satellite data and social media. The Centre also works with little 
data sets, as well as large, which is critical for emerging areas like biosecurity. 
 
The Centre will provide the AIDCC with a one -stop -shop to: 
 
 
 
DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
• Access Australia’s data science network and research capability 
• Bridge the gap between deep research and applications 
• Create a trusted source for advice on AI and data science issues 
• Bring together a critical mass of data science researchers to develop, and contribute to, 
state -of-the-art solutions (including NAIC and AIDCC’s collaboration on the ethical acc ess to 
large, shared data sets) 
• Create partnerships through an Australian data science network 
• Provide research and professional training opportunities to SMEs 
• Leverage investment in data science (e.g. strategic appointments, access to research 
infrastr ucture and relevant data assets, Australian Research Council Centres of Excellence 
and in eResearch). 
 
 
Key domains of AI expertise include: 
 
• Applied data science – multi -faceted datasets obtained from big data sources",4,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
What are the key domains of AI expertise mentioned in the paragraph?,"The key domains of AI expertise mentioned in the paragraph include Applied data science, Data-focused decision making, Models and algorithms, and Data for discovery. These domains involve tasks such as curating multifaceted datasets for deep learning, improving decision-making through novel methods, using models like Sentiment Analysis and Graph Mining, and advancing various sciences through new data science methods for scientific discovery and insights.","Australian Research Council Centres of Excellence 
and in eResearch). 
 
 
Key domains of AI expertise include: 
 
• Applied data science – multi -faceted datasets obtained from big data sources are curated 
prior to deep learning an d natural language processing techniques for bespoke customer 
applications. 
• Data -focused decision making – novel methods for Counterfactual Assumptions and 
removal of Representation Bias improve AI in visualisation, communication and 
interpretation of data . These analyses allow for improved decision -making, and the critical 
evaluation of issues related to the role and use of data science in society. 
• Models and algorithms – use of novel models, such as Sentiment Analysis, Graph Mining 
and extraction of Predi cate Rules from Deep Learning to describe and make decisions about 
complex real -world systems, and methods to ensure high quality, open, reproducible data 
science. The Centre develops scalable, efficient computational algorithms for analysing 
dimensional a nd highly structure data. 
• Data for discovery – advancing the medical, physical, technological and social sciences 
through the development and application of new data science methods in non-parametric 
and distribution free models to achieve rigorous scienti fic discovery and generate evidence -
based insights. 
 
 QUT Centre for Future Enterprise (CFE) 
 
The CFE includes world -renowned strategy, technology, and innovation management experts that 
will work with the",5,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
"Which organization includes world-renowned experts in strategy, technology, and innovation management to support SMEs and microenterprises in the areas of AI Governance, AI Business Models, and Applications of AI?","The QUT Centre for Future Enterprise (CFE) includes world-renowned experts in strategy, technology, and innovation management to support SMEs and microenterprises in the areas of AI Governance, AI Business Models, and Applications of AI. The CFE collaborates with the AIDCC and contributes PhD students to projects aligned with topic areas like the AI Industry Fellows initiative and the AI Supply Chain Innovation program activities.","and generate evidence -
based insights. 
 
 QUT Centre for Future Enterprise (CFE) 
 
The CFE includes world -renowned strategy, technology, and innovation management experts that 
will work with the AIDCC to support SMEs and microenterprises, acro ss regional and urban areas, in 
the areas of AI Governance, AI Business Models and Applications of AI. CFE will contribute PhD 
students to projects aligned to topic areas and in relevant programs, such as the AI Industry Fellows 
initiative and the AI Suppl y Chain Innovation program activities. 
 
 QUT School of Design 
 
The School leads applied research on how to design robots that work better with humans. The 
School contributes to the AIDCC by engaging with industry to build toolkits for the rapid prototyping 
of collaborative robotics solutions, and leveraging multimodal interaction, including Augmented 
 
 
DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
Reality and Virtual Reality, with robotics systems. These teams will collaborate with selected industry 
partners including Australian Expedition Veh icles, which makes Australian Defence Force and 
International Defence Industry military vehicles and is 100% Indigenous -owned, Veteran company, 
located in Townsville Queensland. 
 
JAMES COOK UNIVERSITY 
 
James Cook University (JCU) builds and applies AI tools in key areas of applied research. JCU has 
internationally -recognised research strengths in the Internet of Things (IoT) and is supported by 
innovative sensor",6,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
What are the key research strengths of JCU in the Internet of Things (IoT) and how are they supported?,"JCU has internationally-recognised research strengths in the Internet of Things (IoT) and is supported by innovative sensor technologies and engineering capability. The university has built long-term industry partnerships across the country and specifically in North Queensland, which is the location of large-scale investments in hydrogen, critical minerals, clean energy, recycling, and other high-value resource industries that urgently require access to the high-value skills offered by the AIDCC.","(JCU) builds and applies AI tools in key areas of applied research. JCU has 
internationally -recognised research strengths in the Internet of Things (IoT) and is supported by 
innovative sensor technologies and engineering capability. 
JCU has built long -term industry partnerships across the country and specifically in North 
Queensland, which is the location of large -scale investments in hydrogen, critical minerals, clean 
energy, recycling, and other high -value resource industries – all urgently requiring access to the 
high -value skills that the AIDCC will offer. 
The AIDCC will have a second facility in JCU’s Townsville campus, with business and technical 
expertise and demonstration capabilities. Key programs such as the defence technolo gy accelerator 
(SPRINTS) program will be delivered in Townsville, alongside a corporate education Datathon 
focused on SME defence industry outcomes. 
JCU has committed its eResearch Centre and the Engineering Facility expertise to the AIDCC whose 
work is c haracterised by applying novel, collaborative, multidisciplinary and data/compute intensive 
applied research. 
 
UNIVERSITY OF QUEENSLAND (UQ) 
 
The strengths of contributing UQ experts span several areas of AI, machine learning, data science, 
computer visi on, data mining, human -centered AI, optimisation and statistics. 
Key manufacturing priority industries include medical, resources, defence, and clean energy as well 
as the critical cross -cutting field of cyber",7,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
What are the key manufacturing priority industries and fields of focus for the University of Queensland (UQ) in the context of AI and cyber security?,"The key manufacturing priority industries for UQ include medical, resources, defence, clean energy, and cyber security. UQ is actively involved in supporting digital SMEs in agriculture to access global markets with AI and quantum computing capabilities. The UQ AI Collaboratory and the UQ Centre for Cyber Security are key contributors to the AIDCC program, engaging in industry projects and activities to enhance AI and cyber security initiatives.","human -centered AI, optimisation and statistics. 
Key manufacturing priority industries include medical, resources, defence, and clean energy as well 
as the critical cross -cutting field of cyber security. UQ also work extensively in agricul ture supporting 
digital SMEs to access global markets with leading AI and quantum computing capabilities. 
The UQ AI Collaboratory and the UQ Centre for Cyber Security are the key contributors to the AIDCC 
program, working on industry projects and engage ment activities. UQ also offers training to industry 
through dedicated Cyber Security SME short courses as well as AI short courses, including the 7 
Week introductory platform to AI 'Practical Deep Learning for Coders’ by Honorary UQ Professor 
Jeremy Howar d, Founder of fast.ai. 
UNIVERSITY OF SOUTHERN QUEENSLAND (USQ) 
 
USQ’s Centre for Agricultural Engineering (CEA) will be the partner for this AIDCC. Operating since 1994 its 
purpose is to develop solutions for a sustainable and profitable rural sector. Based in Toowoomba, the 
Centre delivers applied, practical and profitable solutions that strengthen productivity, energy use, 
bioresource recycling, sensing, AI, automation and robotics. CEA will work with selected AIDCC companies 
including Indyn P ty Ltd to build a bio secure AI platform for the grain industry . 
 
 
DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
 
GRIFFITH UNIVERSITY 
 
Griffith University, through its School for Exercise Science, is collaborating with the",8,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
Which university is collaborating with the AIDCC on developing personalised digital twins for humans and implanted and wearable devices in the grain industry?,"Griffith University, through its School for Exercise Science, is collaborating with the AIDCC on developing personalised digital twins for humans and implanted and wearable devices. These digital twins are biophysics-based multiscale models of the human neuro-muscular-skeletal systems created and executed using AI. Griffith University will specifically collaborate with AIDCC's industry partner, VALD Performance, to provide high performance sport and tactical professionals with the right information at the right time.","AI platform for the grain industry . 
 
 
DIGITAL CAPABILITY EXPERTS 
Biographies 
 
 
 
GRIFFITH UNIVERSITY 
 
Griffith University, through its School for Exercise Science, is collaborating with the AIDCC on developing 
personalised digital twins for humans and implanted and wear able devices. These personalised digital 
twins are biophysics -based multiscale models of the human neuro -muscular -skeletal systems that are in 
part created and executed using AI. Griffith will be collaborating specifically with the AIDCC’s industry 
partner , VALD Performance, which provides high performance sport and tactical professionals the right 
information, for the right decision, at the right time. 
 
CENTRAL QUEENSLAND UNIVERSITY 
 
 CQU’s applied research strength in robotics, or mechatronic engineering, in its Mackay campus is the focus 
of the AIDCC collaboration. CQU expertise includes inspection robots for condition assessment of 
infrastructure such as water pipes, and drones for commercial application highlighted in its collaboration 
with Swarm Farm Robotics that delivers lightweight agricultural robots for farm operators to a global 
marketplace. 
 
CSIRO DATA61 
 
CSIRO’s Data61 is the data and digital specialist arm of Australia’s national science agency. Our vision is to 
be among the world's top five in trusted and responsible AI science and technology, making Australia’s 
adoption of mathematically rigorous AI safe, secure, and reliable. Through our Responsible AI and our",9,10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf
